Data,Impressões (orgânicas),Impressões (patrocinadas),Impressões (total),Impressões únicas (orgânicas),Cliques (orgânicos),Cliques (patrocinados),Cliques (total),Reações (orgânicas),Reações (patrocinadas),Reações (total),Comentários (orgânicos),Comentários (patrocinados),Comentários (total),Compartilhamentos (orgânicos),Compartilhamentos (patrocinados),Compartilhamentos (total),Taxa de engajamento (orgânico),Taxa de engajamento (patrocinado),Taxa de engajamento (total)
10/18/2023,2607,0,2607,1248,23,0,23,35,0,35,26,0,26,0,0,0,0.03222094361334868,0.0,0.03222094361334868
10/19/2023,3802,0,3802,1677,26,0,26,42,0,42,34,0,34,1,0,1,0.027091004734350343,0.0,0.027091004734350343
10/20/2023,2148,0,2148,845,16,0,16,11,0,11,0,0,0,0,0,0,0.012569832402234637,0.0,0.012569832402234637
10/21/2023,1111,0,1111,522,25,0,25,1,0,1,0,0,0,0,0,0,0.023402340234023402,0.0,0.023402340234023402
10/22/2023,1095,0,1095,518,34,0,34,1,0,1,0,0,0,0,0,0,0.0319634703196347,0.0,0.0319634703196347
10/23/2023,4590,0,4590,2095,126,0,126,37,0,37,19,0,19,2,0,2,0.04008714596949891,0.0,0.04008714596949891
10/24/2023,7193,0,7193,2614,91,0,91,52,0,52,21,0,21,0,0,0,0.022799944390379537,0.0,0.022799944390379537
10/25/2023,5902,0,5902,2641,34,0,34,49,0,49,15,0,15,0,0,0,0.016604540833615723,0.0,0.016604540833615723
10/26/2023,1659,0,1659,934,9,0,9,27,0,27,21,0,21,0,0,0,0.034358047016274866,0.0,0.034358047016274866
10/27/2023,710,0,710,438,9,0,9,8,0,8,0,0,0,0,0,0,0.023943661971830985,0.0,0.023943661971830985
10/28/2023,596,0,596,347,31,0,31,6,0,6,0,0,0,0,0,0,0.06208053691275168,0.0,0.06208053691275168
10/29/2023,752,0,752,399,9,0,9,2,0,2,0,0,0,1,0,1,0.015957446808510637,0.0,0.015957446808510637
10/30/2023,1606,0,1606,1062,13,0,13,19,0,19,16,0,16,0,0,0,0.029887920298879204,0.0,0.029887920298879204
10/31/2023,2595,0,2595,1555,19,0,19,26,0,26,9,0,9,0,0,0,0.020809248554913295,0.0,0.020809248554913295
11/01/2023,4321,0,4321,2252,1,0,1,42,0,42,5,0,5,0,0,0,0.0111085396898866,0.0,0.0111085396898866
11/02/2023,1963,0,1963,964,10,0,10,14,0,14,0,0,0,0,0,0,0.012226184411614875,0.0,0.012226184411614875
11/03/2023,2976,0,2976,1692,16,0,16,22,0,22,6,0,6,2,0,2,0.015456989247311828,0.0,0.015456989247311828
11/04/2023,1420,0,1420,661,14,0,14,11,0,11,1,0,1,0,0,0,0.018309859154929577,0.0,0.018309859154929577
11/05/2023,1527,0,1527,679,33,0,33,3,0,3,0,0,0,0,0,0,0.023575638506876228,0.0,0.023575638506876228
11/06/2023,4070,0,4070,1928,55,0,55,49,0,49,28,0,28,0,0,0,0.032432432432432434,0.0,0.032432432432432434
11/07/2023,3761,0,3761,1775,10,0,10,32,0,32,9,0,9,0,0,0,0.013560223344855092,0.0,0.013560223344855092
11/08/2023,2390,0,2390,1091,5,0,5,32,0,32,9,0,9,0,0,0,0.019246861924686193,0.0,0.019246861924686193
11/09/2023,2397,0,2397,1122,13,0,13,24,0,24,5,0,5,1,0,1,0.017939090529828953,0.0,0.017939090529828953
11/10/2023,1630,0,1630,883,10,0,10,20,0,20,1,0,1,0,0,0,0.01901840490797546,0.0,0.01901840490797546
11/11/2023,718,0,718,379,14,0,14,4,0,4,0,0,0,0,0,0,0.025069637883008356,0.0,0.025069637883008356
11/12/2023,1426,0,1426,818,21,0,21,12,0,12,0,0,0,0,0,0,0.02314165497896213,0.0,0.02314165497896213
