Data,Visualizações da página Visão geral (computadores),Visualizações da página Visão geral (dispositivos móveis),Visualizações da página Visão geral (total),Visitantes únicos da página Visão geral (computadores),Visitantes únicos da página Visão geral (dispositivos móveis),Visitantes únicos da página Visão geral (total),Visualizações da página Dia a dia (computadores),Visualizações da página Dia a dia (dispositivos móveis),Visualizações da página Dia a dia (total),Visitantes únicos da página Dia a dia (computadores),Visitantes únicos da página Dia a dia (dispositivos móveis),Visitantes únicos da página Dia a dia (total),Visualizações da página Vagas (computadores),Visualizações da página Vagas (dispositivos móveis),Visualizações da página Vagas (total),Visitantes únicos da página Vagas (computadores),Visitantes únicos da página Vagas (dispositivos móveis),Visitantes únicos da página Vagas (total),Total de visualizações da página (computadores),Total de visualizações da página (dispositivos móveis),Total de visualizações da página (total),Total de visitantes únicos (computadores),Total de visitantes únicos (dispositivos móveis),Total de visitantes únicos (total)
06/06/2023,276,792,1068,145,230,374,0,0,0,0,0,0,75,34,109,66,28,94,406,930,1336,155,230,384
06/07/2023,121,390,511,79,114,192,0,0,0,0,0,0,30,10,40,27,9,36,176,445,621,81,114,194
06/08/2023,85,390,475,47,117,164,0,0,0,0,0,0,23,10,33,20,10,30,125,462,587,47,117,164
06/09/2023,88,443,531,57,132,186,0,0,0,0,0,0,19,13,32,17,12,29,128,522,650,57,132,186
06/10/2023,45,249,294,34,82,116,0,0,0,0,0,0,8,11,19,8,10,18,57,294,351,36,82,118
06/11/2023,37,183,220,21,63,83,0,0,0,0,0,0,8,12,20,8,9,17,56,226,282,21,63,83
06/12/2023,138,380,518,84,100,184,0,0,0,0,0,0,38,12,50,31,11,42,200,437,637,86,100,186
06/13/2023,198,356,554,109,132,241,0,0,0,0,0,0,36,14,50,33,10,43,268,428,696,111,132,243
06/14/2023,158,0,158,83,0,83,0,0,0,0,0,0,29,8,37,27,7,34,211,8,219,83,7,90
06/15/2023,173,339,512,102,118,219,0,0,0,0,0,0,34,10,44,27,9,36,239,394,633,102,118,219
06/16/2023,117,385,502,75,133,207,0,0,0,0,0,0,31,20,51,26,17,43,171,459,630,75,133,207
06/17/2023,52,217,269,29,67,96,0,0,0,0,0,0,14,13,27,12,10,22,77,271,348,30,67,97
06/18/2023,42,224,266,25,62,84,0,0,0,0,0,0,13,8,21,12,8,19,69,255,324,25,62,84
06/19/2023,211,0,211,105,0,105,0,0,0,0,0,0,51,6,57,46,5,51,292,6,298,106,5,111
06/20/2023,178,0,178,113,0,113,0,0,0,0,0,0,45,15,60,43,13,56,258,15,273,114,13,127
06/21/2023,152,396,548,84,100,182,0,0,0,0,0,0,32,17,49,28,16,44,235,457,692,84,100,182
06/22/2023,113,375,488,69,112,180,0,0,0,0,0,0,32,10,42,27,9,36,155,431,586,70,112,181
06/23/2023,136,0,136,72,0,72,0,0,0,0,0,0,26,13,39,25,11,36,191,13,204,72,11,83
06/24/2023,53,293,346,28,75,103,0,0,0,0,0,0,10,8,18,8,7,15,68,325,393,28,75,103
06/25/2023,37,120,157,21,44,64,0,0,0,0,0,0,8,5,13,7,4,11,59,140,199,21,44,64
06/26/2023,110,221,331,75,71,145,0,0,0,0,0,0,21,6,27,19,5,24,148,258,406,76,71,146
06/27/2023,153,387,540,82,123,202,0,0,0,0,0,0,48,12,60,44,12,56,236,439,675,83,123,203
